,station_id,name,rental_methods,lat,eightd_station_services,has_kiosk,short_name,external_id,capacity,region_id,electric_bike_surcharge_waiver,legacy_id,lon,station_type,eightd_has_key_dispenser,rental_uris.ios,rental_uris.android,timestamp
31,35,Connecticut Ave & Macomb St NW / Cleveland Park,"['KEY', 'CREDITCARD']",38.93362634918731,[],True,31305,08247f59-1f3f-11e7-bf6b-3863bb334450,11,42,False,35,-77.0575301349163,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
32,36,Randle Circle & Minnesota Ave SE,"['KEY', 'CREDITCARD']",38.878,[],True,31702,08247fe1-1f3f-11e7-bf6b-3863bb334450,11,42,False,36,-76.9607,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
33,37,Minnesota Ave Metro/DOES,"['KEY', 'CREDITCARD']",38.897063,[],True,31703,0824806c-1f3f-11e7-bf6b-3863bb334450,15,42,False,37,-76.947446,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
34,38,Nannie Helen Burroughs & Minnesota Ave NE,"['KEY', 'CREDITCARD']",38.901385,[],True,31704,082480f1-1f3f-11e7-bf6b-3863bb334450,11,42,False,38,-76.941877,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
35,39,Anacostia Metro,"['KEY', 'CREDITCARD']",38.862669,[],True,31801,08248172-1f3f-11e7-bf6b-3863bb334450,19,42,False,39,-76.994637,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
36,40,Good Hope Rd & MLK Ave SE,"['KEY', 'CREDITCARD']",38.867373,[],True,31802,0824821f-1f3f-11e7-bf6b-3863bb334450,11,42,False,40,-76.988039,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
37,41,19th & E Street NW,"['KEY', 'CREDITCARD']",38.8952,[],True,31206,082482b3-1f3f-11e7-bf6b-3863bb334450,11,42,False,41,-77.0436,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
38,42,4th & W St NE,"['KEY', 'CREDITCARD']",38.919077,[],True,31500,0824833c-1f3f-11e7-bf6b-3863bb334450,15,42,False,42,-77.000648,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
39,43,10th & U St NW,"['KEY', 'CREDITCARD']",38.9172,[],True,31111,082483c2-1f3f-11e7-bf6b-3863bb334450,15,42,False,43,-77.0259,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
40,44,Georgia Ave & Fairmont St NW,"['KEY', 'CREDITCARD']",38.9249,[],True,31207,0824844b-1f3f-11e7-bf6b-3863bb334450,15,42,False,44,-77.0222,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
